补助资金	=总数=49=政府补贴49|
 激励计划权	=总数=50=股权激励50|
 激励计划完成	=总数=9=股权激励9|
 激励计划结果	=总数=8=股权激励8|
 激励计划草案	=总数=9=股权激励9|
 激励计划首次	=总数=65=股权激励65|
 激励计划调整	=总数=44=股权激励44|
 激励计划首期	=总数=12=股权激励12|
 激励计划授予	=总数=149=股权激励149|
 激励计划激励	=总数=138=股权激励138|
 激励计划对象	=总数=151=股权激励151|
 激励计划条件	=总数=5=股权激励5|
 激励计划可行	=总数=25=股权激励25|
 股权激励计划	=总数=114=股权激励114|
 激励计划注销	=总数=17=股权激励17|
 激励计划管理	=总数=41=股权激励41|
 激励计划第一个	=总数=23=股权激励23|
 激励计划无异议	=总数=31=股权激励31|
 股票激励计划独立	=总数=9=股权激励9|
 终止股票激励计划	=总数=5=股权激励5|
 股票激励计划有关	=总数=12=股权激励12|
 激励计划法律意见书	=总数=25=回购1|股权激励25|
 公司股票激励计划法律	=总数=8=股权激励8|
 公司股票激励计划所涉	=总数=6=股权激励6|
预计公告	=总数=35=关联交易35|
公司股份	=总数=656=未分类56|股权激励2|诉讼仲裁2|资产重组22|质押64|回购3|首发4|大宗交易6|合同签订17|股份减持80|配股1|增发257|关联交易68|兼并收购24|股份增持170|担保事项2|
 拟公司股份	=总数=15=合同签订1|股份减持11|增发1|股份增持4|
  股东拟公司股份	=总数=13=股份减持9|增发1|股份增持3|
 公司增股份	=总数=24=关联交易1|股份增持23|
 公司股份之	=总数=55=未分类2|合同签订3|股份减持1|增发42|兼并收购5|质押1|股份增持6|
  公司股份情况之	=总数=9=增发8|质押1|
  公司股份之意见	=总数=13=未分类1|增发11|质押1|
  公司股份之财务顾问	=总数=14=增发13|兼并收购1|
  公司发行股份购买资产之	=总数=41=合同签订2|增发41|
   公司发行股份购买资产之法律意见书	=总数=8=增发8|
 本公司股份	=总数=40=回购1|未分类3|股份减持5|配股1|诉讼仲裁1|兼并收购1|质押6|股份增持23|
  持本公司股份	=总数=33=未分类3|股份减持4|诉讼仲裁1|质押2|股份增持23|
  股东本公司股份	=总数=31=回购1|股份减持3|配股1|诉讼仲裁1|质押6|股份增持20|
 公司与股份	=总数=10=未分类1|合同签订8|增发7|关联交易1|股份增持5|
 公司之股份	=总数=10=未分类1|合同签订8|增发7|股份增持8|
 高公司股份	=总数=6=股份减持3|股份增持3|
 与公司股份	=总数=7=未分类1|合同签订3|增发6|股份增持3|
 人公司股份	=总数=66=股份减持8|兼并收购6|股份增持52|
  及人公司股份	=总数=6=兼并收购4|股份增持2|
  人公司股份情况	=总数=5=兼并收购3|股份增持2|
 公司股份持	=总数=15=未分类1|大宗交易2|股份减持13|诉讼仲裁1|
  公司股份持股	=总数=9=大宗交易1|股份减持8|诉讼仲裁1|
  股东持公司股份持	=总数=9=未分类1|大宗交易1|股份减持8|
 及公司股份	=总数=16=股份减持1|增发1|关联交易1|兼并收购5|股份增持9|
 公司股份及	=总数=114=回购1|未分类4|诉讼仲裁1|增发103|关联交易25|资产重组6|兼并收购4|质押4|股份增持2|
 公司股份解	=总数=7=股权激励1|质押6|
 公司股份被	=总数=6=诉讼仲裁1|质押5|
  公司股份被质押	=总数=5=质押5|
 公司持股份	=总数=47=大宗交易1|股份减持12|质押5|股份增持30|
  公司所持股份	=总数=7=股份减持3|质押4|
  公司减持股份	=总数=9=大宗交易1|股份减持9|
  公司持公司股份	=总数=20=股份减持2|质押4|股份增持14|
  公司控股股东持股份	=总数=12=股份减持1|质押3|股份增持8|
 公司股份股	=总数=15=未分类1|大宗交易2|股份减持12|增发2|关联交易1|兼并收购1|
 公司及股份	=总数=63=未分类1|关联交易13|增发60|资产重组9|兼并收购2|股份增持2|
  公司现金及发行股份购买资产	=总数=44=未分类1|关联交易1|增发43|兼并收购2|
 持公司股份	=总数=220=未分类5|大宗交易5|股份减持59|诉讼仲裁1|质押14|股份增持141|
  增持公司股份	=总数=141=股份增持141|
  管持公司股份	=总数=6=未分类1|股份减持3|股份增持2|
  持公司股份情况	=总数=16=质押4|股份增持12|
 公司股份专项	=总数=8=增发1|质押1|股份增持6|
 公司公司股份	=总数=26=未分类1|合同签订3|股份减持2|关联交易1|增发4|质押4|股份增持18|
  公司股东公司股份	=总数=7=股份减持1|质押1|股份增持5|
 公司股份公告	=总数=16=股份减持4|增发3|资产重组1|兼并收购3|质押4|股份增持1|
 公司发行股份	=总数=266=首发3|未分类14|合同签订2|增发249|关联交易64|资产重组21|兼并收购6|
  公司发行股份事项	=总数=9=未分类1|增发8|
   公司发行股份购买资产事项	=总数=8=增发8|
 公司股份事宜	=总数=7=增发3|兼并收购1|股份增持3|
 转让公司股份	=总数=5=合同签订2|股份减持5|股份增持2|
 股东公司股份	=总数=174=回购1|未分类1|大宗交易4|合同签订1|股份减持51|配股1|诉讼仲裁1|增发1|质押22|股份增持98|
  股东公司股份结果	=总数=6=股份增持6|
  股东持有公司股份	=总数=8=回购1|质押8|
 公司股份进展	=总数=9=增发3|兼并收购3|股份增持3|
  公司股份进展情况	=总数=6=兼并收购3|股份增持3|
 公司股份交易	=总数=6=回购1|增发3|关联交易1|质押1|股份增持1|
 公司控股股份	=总数=24=合同签订2|股份减持2|增发1|关联交易1|诉讼仲裁1|兼并收购1|质押7|股份增持11|
  公司控股股东股份	=总数=21=股份减持1|增发1|关联交易1|诉讼仲裁1|兼并收购1|质押7|股份增持11|
 公司股份完成	=总数=8=回购1|合同签订1|股份减持2|股份增持6|
 公司股份实施	=总数=38=增发12|股份增持26|
 部分公司股份	=总数=9=兼并收购4|股份增持5|
 公司股东股份	=总数=63=大宗交易1|股份减持6|增发1|关联交易1|诉讼仲裁1|兼并收购1|质押38|股份增持17|
  公司大股东股份	=总数=5=质押3|股份增持2|
  公司股东股份质押	=总数=38=质押38|
 公司股份情况	=总数=40=诉讼仲裁1|增发15|关联交易1|质押6|兼并收购4|股份增持15|
 公司股份结果	=总数=16=增发2|股份增持14|
 公司部分股份质押	=总数=8=质押8|
 公司实际控制人股份	=总数=10=股份减持1|质押2|股份增持7|
股权资产	=总数=137=未分类1|合同签订1|股份减持58|关联交易1|增发33|兼并收购46|股份增持4|
 收购股权资产	=总数=32=兼并收购31|股份增持1|
 股权转让资产	=总数=21=股份减持21|
 股权资产评估	=总数=132=未分类1|股份减持56|增发33|兼并收购44|股份增持4|
  股权价值资产评估报告	=总数=19=股份减持12|兼并收购7|
  股权评估项目资产评估报告书	=总数=7=股份减持4|兼并收购3|
拟收购等	=总数=5=兼并收购5|
融资事项	=总数=8=回购1|债券发行2|合同签订1|股份减持1|增发2|关联交易1|质押1|股份增持1|担保事项3|
 子公司融资事项	=总数=5=回购1|债券发行2|合同签订1|股份减持1|关联交易1|质押1|股份增持1|担保事项2|
公司价格	=总数=15=债券发行2|股权激励8|交易异动3|增发1|资产重组1|
 公司股票价格	=总数=13=股权激励8|交易异动3|增发1|资产重组1|
增资扩股	=总数=41=未分类6|合同签订2|增发29|股份增持5|
 对增资扩股	=总数=9=增发8|股份增持1|
 增资扩股项目	=总数=5=增发4|股份增持1|
 子公司增资扩股	=总数=16=未分类2|增发12|股份增持2|
 增资扩股优先认缴	=总数=5=增发5|
公司向其	=总数=8=股份减持2|关联交易5|担保事项1|
发行批复	=总数=48=债券发行8|增发40|
 发行国资委批复	=总数=14=增发14|
 非公开发行批复	=总数=19=增发19|
 发行公司债券批复	=总数=8=债券发行8|
 发行获得核准批复	=总数=7=增发7|
公司解除	=总数=60=未分类4|诉讼仲裁1|质押55|
 公司部分解除	=总数=12=质押12|
 公司股东解除	=总数=41=诉讼仲裁1|质押40|
  公司股东股权解除	=总数=17=质押17|
 公司解除质押	=总数=36=质押36|
完成过户	=总数=9=合同签订2|股份减持5|资产重组2|兼并收购1|股份增持3|
 股东完成过户	=总数=6=合同签订2|股份减持4|兼并收购1|股份增持3|
控股展期	=总数=8=关联交易8|
及其报告	=总数=5=业绩发布1|兼并收购3|股份增持1|
预计公司	=总数=11=关联交易8|担保事项3|
股票说明	=总数=5=首发2|股权激励1|增发2|
财务数据	=总数=31=兼并收购1|业绩发布30|
商业合同	=总数=5=合同签订5|
重组报告	=总数=19=关联交易1|增发4|资产重组19|
 重组资产报告	=总数=5=资产重组5|
重大专项	=总数=7=合同签订3|关联交易2|增发1|资产重组3|
终止重组	=总数=27=资产重组27|
权益报告	=总数=528=未分类11|股权激励1|资产重组6|业绩发布1|质押1|回购1|大宗交易42|合同签订2|股份减持144|关联交易1|增发40|兼并收购308|股份增持48|担保事项1|
 权益报告书	=总数=396=回购1|大宗交易42|未分类5|合同签订2|股份减持89|股权激励1|增发19|资产重组1|质押1|兼并收购264|股份增持47|
  公司权益报告书	=总数=13=股份减持4|增发1|兼并收购8|股份增持2|
  股东权益报告书	=总数=15=股份减持11|兼并收购4|
  简式权益变动报告书	=总数=327=回购1|大宗交易41|未分类2|股份减持73|增发16|资产重组1|兼并收购222|质押1|股份增持34|
  详式权益变动报告书	=总数=53=大宗交易1|未分类3|合同签订1|股份减持4|股权激励1|增发3|兼并收购38|股份增持13|
 股东权益报告	=总数=144=未分类6|股份减持64|关联交易1|增发21|资产重组5|业绩发布1|兼并收购47|股份增持1|担保事项1|
  公司股东权益报告	=总数=22=股份减持8|增发5|关联交易1|资产重组3|兼并收购7|
   公司股东权益价值评估报告	=总数=16=股份减持5|增发4|兼并收购7|
  拟股东权益评估报告	=总数=8=股份减持2|增发1|资产重组2|兼并收购3|
  涉及股东权益评估报告	=总数=10=股份减持3|增发5|资产重组2|
   涉及股东权益价值评估报告	=总数=13=股份减持3|增发6|兼并收购3|业绩发布1|
  全部股东权益评估报告	=总数=5=股份减持3|资产重组2|
  股权股东权益价值评估报告	=总数=17=股份减持12|兼并收购5|
  转让股东权益价值评估报告	=总数=10=股份减持9|兼并收购1|
 公司权益报告	=总数=31=股份减持9|关联交易1|增发6|资产重组3|兼并收购14|股份增持2|
  公司全部权益价值评估报告	=总数=8=股份减持4|增发2|兼并收购2|
 涉及全部权益评估报告	=总数=10=股份减持3|增发5|资产重组2|
 股权全部权益价值评估报告	=总数=5=股份减持4|兼并收购1|
提交申请	=总数=16=增发1|资产重组2|兼并收购13|
 免于提交豁免申请	=总数=13=兼并收购13|
本次发行	=总数=50=债券发行4|未分类3|增发43|关联交易6|
 本次发行股份	=总数=10=关联交易2|增发10|
 本次非公开发行	=总数=35=未分类3|关联交易3|增发32|
  本次非公开发行募集资金	=总数=17=未分类2|增发15|
   本次非公开发行股票募集资金运用	=总数=8=增发8|
   本次非公开发行股票募集资金可行性分析	=总数=5=增发5|
 本次发行募集资金	=总数=18=债券发行1|未分类2|增发15|
  本次发行募集资金投资项目	=总数=5=债券发行1|增发4|
  本次公开发行募集资金运用	=总数=8=债券发行1|增发7|
激励摘要	=总数=80=股权激励80|
发行发行	=总数=310=债券发行11|未分类36|首发49|增发215|关联交易8|资产重组3|股份增持1|
 发行及发行	=总数=8=增发8|关联交易2|股份增持1|
 发行发行性	=总数=102=债券发行1|未分类18|首发7|关联交易3|增发76|资产重组2|
  非公开发行发行过程认购对象合规性	=总数=9=增发9|
 公开发行发行	=总数=299=债券发行5|未分类36|首发49|增发210|关联交易8|资产重组3|
  公开发行发行中	=总数=11=首发10|增发1|
  公开发行发行及	=总数=27=首发16|增发12|
   非公开发行股票发行及	=总数=13=增发13|
  非公开发行发行	=总数=207=未分类1|增发206|关联交易8|资产重组3|
   非公开发行发行和	=总数=7=增发7|
   非公开发行发行审核	=总数=26=增发26|
   非公开发行发行过程	=总数=72=关联交易3|增发72|资产重组2|
   公司非公开发行发行	=总数=41=关联交易2|增发41|
    公司非公开发行发行对象	=总数=30=增发30|
   非公开发行股票发行发行	=总数=18=增发18|
  公司公开发行发行	=总数=50=首发4|未分类5|增发41|关联交易2|
  股份公开发行发行	=总数=6=首发3|增发4|
  公开发行发行报告	=总数=60=关联交易1|增发60|资产重组1|
  公开发行发行情况	=总数=72=债券发行1|首发10|关联交易1|增发61|资产重组1|
  公开发行发行结果	=总数=43=未分类1|首发8|关联交易2|增发34|
  公开发行股票发行之	=总数=6=首发1|增发5|
 发行发行对象	=总数=73=关联交易3|增发73|资产重组2|
  发行过程发行对象	=总数=13=增发13|
 发行发行结果	=总数=55=未分类1|首发18|关联交易2|增发36|股份增持1|
 发行发行审核	=总数=34=债券发行6|增发28|
 发行股份购买资产发行	=总数=5=增发5|股份增持1|
公司名单	=总数=31=债券发行2|未分类3|股权激励24|预减2|资产重组1|
进行股票	=总数=56=回购53|股权激励2|质押53|
公司合同	=总数=29=未分类2|合同签订27|股份减持1|增发7|兼并收购1|股份增持7|
 公司之合同	=总数=10=未分类1|合同签订9|增发7|股份增持7|
 公司与合同	=总数=13=未分类1|合同签订12|增发7|股份增持7|
 公司签署合同	=总数=10=合同签订10|兼并收购1|
股票涉及	=总数=29=未分类2|股权激励3|关联交易18|增发24|
 股票涉及事项	=总数=12=股权激励2|关联交易6|增发10|
  非公开发行股票涉及事项	=总数=10=增发10|关联交易6|
董事会及	=总数=16=未分类2|高管变动14|
 董事会秘书及	=总数=5=高管变动5|
 董事会及提名	=总数=7=高管变动7|
材料公司	=总数=19=未分类3|合同签订1|股份减持1|政府补贴1|增发1|诉讼仲裁2|业绩发布1|兼并收购4|预增1|股份增持4|
 新材料公司	=总数=13=未分类1|合同签订1|政府补贴1|增发1|诉讼仲裁2|兼并收购2|业绩发布1|预增1|股份增持3|
